種類,価格情報区分,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等,単価（円/㎡）
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"24,000,000",１Ｒ,55,1982年,ＳＲＣ,,,準工業,,,2021年第1四半期,,,"436,363"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,9.0,"20,000,000",３ＤＫ,65,1976年,,,,準工業,,,2021年第1四半期,,,"307,692"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"29,000,000",２ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2021年第1四半期,,,"386,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"46,000,000",２ＬＤＫ＋Ｓ,75,2008年,ＲＣ,,,準工業,,,2021年第1四半期,,,"613,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"46,000,000",３ＬＤＫ,80,2001年,ＲＣ,,,準工業,,,2021年第1四半期,,,"575,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"38,000,000",３ＬＤＫ,75,2001年,ＳＲＣ,,,準工業,,,2021年第1四半期,,,"506,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,7.0,"28,000,000",３ＬＤＫ,70,1980年,ＲＣ,,,準工業,,,2021年第1四半期,,,"400,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"54,000,000",４ＬＤＫ,85,2009年,ＲＣ,,,準工業,,,2021年第1四半期,,,"635,294"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"43,000,000",３ＬＤＫ,75,1980年,ＳＲＣ,,,商業,,,2021年第1四半期,,,"573,333"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"26,000,000",２ＤＫ,45,1985年,ＳＲＣ,,,,,,2021年第1四半期,改装済み,,"577,777"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"44,000,000",３ＬＤＫ,75,2009年,ＲＣ,,,準工業,,,2021年第1四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,10.0,"22,000,000",３ＤＫ,55,1980年,ＲＣ,,,準工業,,,2021年第2四半期,,,"400,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"33,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,,,,2021年第2四半期,,,"507,692"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"9,500,000",１Ｒ,25,1981年,ＲＣ,,,,,,2021年第2四半期,,,"380,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"30,000,000",４ＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2021年第2四半期,,,"400,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,7.0,"39,000,000",２ＬＤＫ,75,2003年,ＳＲＣ,,,準工業,,,2021年第2四半期,,,"520,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,7.0,"44,000,000",３ＬＤＫ,90,2003年,ＳＲＣ,,,準工業,,,2021年第2四半期,,,"488,888"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"56,000,000",４ＬＤＫ,95,2009年,ＲＣ,,,準工業,,,2021年第2四半期,,,"589,473"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,7.0,"41,000,000",３ＬＤＫ,75,2000年,ＳＲＣ,,,準工業,,,2021年第3四半期,,,"546,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"31,000,000",２ＬＤＫ,65,1982年,ＳＲＣ,,,準工業,,,2021年第3四半期,,,"476,923"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"45,000,000",３ＬＤＫ,75,2009年,ＲＣ,,,準工業,,,2021年第3四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"58,000,000",４ＬＤＫ,90,2009年,ＲＣ,,,準工業,,,2021年第3四半期,,,"644,444"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"37,000,000",２ＬＤＫ＋Ｓ,70,2001年,ＳＲＣ,,,準住居,,,2021年第3四半期,,,"528,571"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"38,000,000",３ＬＤＫ,65,2001年,ＲＣ,,,,,,2021年第4四半期,,,"584,615"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"36,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"480,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,4.0,"40,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"533,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"37,000,000",２ＬＤＫ,60,1989年,ＳＲＣ,,,１種住居,,,2021年第4四半期,,,"616,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"31,000,000",１ＬＤＫ＋Ｓ,75,1981年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"413,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"35,000,000",３ＬＤＫ,75,1989年,ＳＲＣ,,,１種住居,,,2021年第4四半期,,,"466,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"49,000,000",２ＬＤＫ＋Ｓ,80,2005年,ＳＲＣ,,,１種住居,,,2021年第4四半期,,,"612,500"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"59,000,000",３ＬＤＫ,85,2005年,ＲＣ,,,１種住居,,,2021年第4四半期,,,"694,117"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"63,000,000",４ＬＤＫ,115,2001年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"547,826"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"30,000,000",３ＬＤＫ,65,2009年,ＲＣ,,,準工業,,,2021年第1四半期,,,"461,538"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,13.0,"36,000,000",３ＬＤＫ,70,2009年,ＲＣ,,,準工業,,,2021年第1四半期,,,"514,285"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"38,000,000",２ＬＤＫ,55,2015年,ＲＣ,,,１種住居,,,2021年第1四半期,,,"690,909"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,13.0,"40,000,000",３ＬＤＫ,70,2009年,ＲＣ,,,準工業,,,2021年第1四半期,,,"571,428"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,10.0,"23,000,000",２ＬＤＫ,50,1982年,ＳＲＣ,,,,,,2021年第1四半期,,,"460,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,21.0,"30,000,000",３ＬＤＫ,70,1999年,ＳＲＣ,,,準工業,,,2021年第1四半期,,,"428,571"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,10.0,"31,000,000",３ＬＤＫ,70,1982年,ＳＲＣ,,,準工業,,,2021年第1四半期,,,"442,857"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"39,000,000",３ＬＤＫ,85,1987年,ＳＲＣ,,,準工業,,,2021年第2四半期,,,"458,823"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"24,000,000",２ＬＤＫ,50,2008年,ＲＣ,,,準工業,,,2021年第2四半期,,,"480,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,17.0,"36,000,000",３ＬＤＫ,70,2006年,ＲＣ,,,準工業,,,2021年第2四半期,,,"514,285"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"20,000,000",３ＬＤＫ,85,1982年,ＳＲＣ,,,準工業,,,2021年第2四半期,,,"235,294"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"21,000,000",３ＬＤＫ,85,1982年,ＲＣ,,,準工業,,,2021年第2四半期,,,"247,058"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,20.0,"31,000,000",３ＬＤＫ＋Ｓ,80,1999年,ＲＣ,,,準工業,,,2021年第2四半期,,,"387,500"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"29,000,000",３ＬＤＫ,75,1999年,ＳＲＣ,,,準工業,,,2021年第3四半期,,,"386,666"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"45,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,１種住居,,,2021年第3四半期,,,"692,307"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"39,000,000",３ＬＤＫ,90,2003年,ＲＣ,,,準工業,,,2021年第4四半期,,,"433,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,17.0,"32,000,000",３ＬＤＫ,70,1996年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"457,142"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,10.0,"28,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"430,769"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"29,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"446,153"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"33,000,000",３ＬＤＫ,70,2009年,ＲＣ,,,準工業,,,2021年第4四半期,,,"471,428"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"23,000,000",１Ｋ,30,2002年,ＲＣ,,,商業,,,2022年第1四半期,,,"766,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"62,000,000",３ＬＤＫ＋Ｓ,95,2005年,ＳＲＣ,,,１種住居,,,2022年第1四半期,,,"652,631"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"66,000,000",４ＬＤＫ,100,2005年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"660,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"42,000,000",２ＬＤＫ,70,2003年,ＲＣ,,,準工業,,,2022年第1四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"46,000,000",３ＬＤＫ,80,2005年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"575,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"49,000,000",３ＬＤＫ,75,2009年,ＲＣ,,,準工業,,,2022年第1四半期,,,"653,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"41,000,000",１ＬＤＫ＋Ｓ,70,1986年,ＳＲＣ,,,１種住居,,,2022年第2四半期,,,"585,714"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"36,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"480,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"39,000,000",３ＬＤＫ,65,2001年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"36,000,000",１ＬＤＫ＋Ｓ,65,1981年,ＳＲＣ,,,商業,,,2022年第2四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"49,000,000",２ＬＤＫ＋Ｓ,80,2008年,ＲＣ,,,準工業,,,2022年第2四半期,,,"612,500"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"23,000,000",１Ｒ,30,2002年,ＲＣ,,,準工業,,,2022年第2四半期,,,"766,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"43,000,000",４ＬＤＫ,90,1989年,ＲＣ,,,１種住居,,,2022年第3四半期,,,"477,777"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"50,000,000",３ＬＤＫ,70,2001年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"714,285"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"47,000,000",３ＬＤＫ,75,2001年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"626,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"11,000,000",１ＤＫ,25,1981年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"440,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"11,000,000",１ＤＫ,25,1981年,ＳＲＣ,,,,,,2022年第3四半期,,,"440,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"53,000,000",３ＬＤＫ,95,1999年,ＳＲＣ,,,１種住居,,,2022年第3四半期,,,"557,894"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"43,000,000",３ＬＤＫ,65,2008年,ＲＣ,,,準工業,,,2022年第3四半期,,,"661,538"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"28,000,000",３ＤＫ,65,1980年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"430,769"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"50,000,000",３ＬＤＫ,85,2005年,ＳＲＣ,,,１種住居,,,2022年第3四半期,,,"588,235"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"38,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2022年第4四半期,,,"506,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"36,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,,,,2022年第4四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"50,000,000",２ＬＤＫ＋Ｓ,75,2008年,ＲＣ,,,準工業,,,2022年第4四半期,,,"666,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"34,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,,,,2022年第4四半期,,,"523,076"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"55,000,000",３ＬＤＫ＋Ｓ,80,2008年,ＲＣ,,,準工業,,,2022年第4四半期,,,"687,500"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"53,000,000",２ＬＤＫ,85,2005年,ＲＣ,,,１種住居,,,2022年第4四半期,,,"623,529"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"50,000,000",３ＬＤＫ,80,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"625,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"54,000,000",４ＬＤＫ＋Ｓ,95,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"568,421"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"52,000,000",３ＬＤＫ,85,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"611,764"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,18.0,"37,000,000",３ＬＤＫ,75,2005年,ＲＣ,,,準工業,,,2022年第1四半期,,,"493,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,,"28,000,000",３ＬＤＫ,75,1982年,ＳＲＣ,,,準工業,,,2022年第1四半期,,,"373,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"52,000,000",２ＬＤＫ＋Ｓ,70,2015年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"742,857"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,18.0,"38,000,000",３ＬＤＫ,70,2005年,ＲＣ,,,準工業,,,2022年第1四半期,,,"542,857"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"34,000,000",３ＬＤＫ,75,2003年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"453,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,16.0,"44,000,000",２ＬＤＫ＋Ｓ,75,2010年,,,,準工業,,,2022年第2四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"50,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,１種住居,,,2022年第2四半期,,,"769,230"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"27,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"415,384"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,17.0,"30,000,000",３ＬＤＫ,85,1982年,ＲＣ,,,準工業,,,2022年第4四半期,,,"352,941"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"46,000,000",２ＬＤＫ,75,2010年,ＳＲＣ,,,準工業,,,2022年第4四半期,,,"613,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"42,000,000",３ＬＤＫ,75,2010年,ＲＣ,,,,,,2022年第4四半期,,,"560,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"25,000,000",２ＬＤＫ,60,2009年,ＲＣ,,,準工業,,,2022年第4四半期,,,"416,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,7.0,"43,000,000",３ＬＤＫ,70,2000年,ＳＲＣ,,,準工業,,,2023年第1四半期,,,"614,285"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,10.0,"58,000,000",３ＬＤＫ,85,2004年,ＲＣ,,,,,,2023年第1四半期,,,"682,352"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"8,700,000",１Ｒ,25,1981年,ＲＣ,,,工業,,,2023年第1四半期,,,"348,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"57,000,000",４ＬＤＫ,95,2005年,ＳＲＣ,,,１種住居,,,2023年第1四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"61,000,000",５ＬＤＫ,95,2005年,ＲＣ,,,１種住居,,,2023年第1四半期,,,"642,105"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"44,000,000",３ＬＤＫ,75,2005年,ＲＣ,,,１種住居,,,2023年第1四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"44,000,000",３ＬＤＫ,80,1999年,ＳＲＣ,,,１種住居,,,2023年第1四半期,,,"550,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,9.0,"54,000,000",３ＬＤＫ,85,2008年,ＲＣ,,,準工業,,,2023年第2四半期,,,"635,294"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"47,000,000",３ＬＤＫ,85,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,改装済み,,"552,941"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"31,000,000",２ＬＤＫ,60,1986年,ＳＲＣ,,,１種住居,,,2023年第2四半期,改装済み,,"516,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"42,000,000",３ＬＤＫ,70,1986年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"37,000,000",３ＤＫ,65,1982年,ＳＲＣ,,,,,,2023年第2四半期,,,"569,230"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"39,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"520,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,6.0,"44,000,000",４ＬＤＫ,95,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"463,157"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"8,400,000",１Ｒ,20,1989年,ＳＲＣ,,,商業,,,2023年第2四半期,,,"420,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"44,000,000",３ＬＤＫ,75,2005年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"34,000,000",３ＤＫ,70,1980年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"485,714"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"45,000,000",３ＬＤＫ,80,1999年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"562,500"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"52,000,000",３ＬＤＫ,80,2005年,ＲＣ,,,１種住居,,,2023年第2四半期,,,"650,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,9.0,"45,000,000",３ＬＤＫ,70,2008年,ＲＣ,,,準工業,,,2023年第3四半期,,,"642,857"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,6.0,"8,000,000",１ＤＫ,25,1981年,ＲＣ,,,準工業,,,2023年第3四半期,,,"320,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"39,000,000",３ＬＤＫ,70,2008年,ＲＣ,,,準工業,,,2023年第3四半期,,,"557,142"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,4.0,"66,000,000",３ＬＤＫ,90,2004年,ＲＣ,,,準工業,,,2023年第3四半期,,,"733,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"36,000,000",３ＬＤＫ,65,1981年,ＳＲＣ,,,,,,2023年第3四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"37,000,000",２ＬＤＫ,60,2003年,ＲＣ,,,準工業,,,2023年第3四半期,,,"616,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"33,000,000",２ＬＤＫ＋Ｓ,60,1986年,ＳＲＣ,,,１種住居,,,2023年第4四半期,,,"550,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"42,000,000",３ＬＤＫ,80,2001年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"525,000"
